message,created_time,id
2016-02-23T02:19:07+0000,"ONLY TO THE CATHOLICS IS THE POPE SPECIAL. TO ME AND OTHER CHRISTIANS. HE IS JUST ONLY A MAN. JESUS IS MY LORD AND MASTER AND NO HUMAN CAN TAKE THE PLACE OF CHRIST. THE POPE HAS NO BUSINESS DICTATING TO WE AMERICANS, .ABOUT OUR POLITICAL SYSTEM..",498654170307488_498705723635666
2016-02-23T02:21:37+0000,Trump2016,498654170307488_498706036968968
2016-02-23T02:24:15+0000,https://youtu.be/h9PxdDvgQks?t=5 }}}} SHARE THIS THIS IS TRUE MARCO RUBIO WAS BORN MAY 28 1971. HIS PARENTS DID NOT BE COME US CITIZEN TILL 1975 HE CAN NOT RUN FOR THIS OFFICE,498654170307488_498706730302232
2016-02-23T02:34:00+0000,The dope in Italy. 2 Chronicles 14:7,498654170307488_498709110301994
2016-02-23T02:36:06+0000,"VOTE
MR.TRUMP",498654170307488_498709406968631
2016-02-23T02:47:20+0000,"The pope can't make up his mind--- he doesn't like walls, yet he has one.  He doesn't believe in guns, yet he has a basement full of them and heavily armed security guards.",498654170307488_498711033635135
2016-02-23T02:54:31+0000,TRUMP 2016! Take em to the House!!!!,498654170307488_498712920301613
2016-02-23T02:55:17+0000,Maybe the Pope is not Christian.!,498654170307488_498713000301605
2016-02-23T02:56:00+0000,The Pope had no business inserting himself into our politics.,498654170307488_498713073634931
2016-02-23T02:56:19+0000,"Well if the Pope was a Christian, he would know the Bible says not to judge people. God will do that Himself!! Go Mr Trump",498654170307488_498713123634926
2016-02-23T02:58:19+0000,And Trump was very respectful in rebuttal about it! 👏👏👏,498654170307488_498713340301571
2016-02-23T03:00:55+0000,Yup... The Pope owes Donald Trump an apology...,498654170307488_498713580301547
